,Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Periodo,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Banda ancha fija,Dial up,Provincia,Partido,Localidad,4G,3G,TELEFONIAFIJA,SATELITAL
3290,2015.9750632685623,2.5618530070264147,SI,2.756.294,226.285,155.42107406965175,240.00692836479675,9.571.562,Oct-Dic 2014,-28.82637544385954,295.0563684098015,5.049.640,859.413,967.508,1.250.366,3.500.882,51.72824571273469,7.842.778,21.889444572469145,BUENOS AIRES,Castelli,Centro Guerrero,SI,SI,SI,SI
3291,2016.9961503111447,2.831440316372677,SI,2.756.294,226.285,395.4085751449846,180.0984460701996,9.571.562,Oct-Dic 2014,132.16738870624897,274.0157412159182,5.049.640,859.413,967.508,1.250.366,3.500.882,116.80971240826743,7.842.778,13.934080883062261,BUENOS AIRES,Castelli,Cerro de la Gloria,SI,SI,SI,SI
3292,2019.3760398579873,1.4774028783242845,SI,2.756.294,226.285,270.9448485336774,39.49213450929342,9.571.562,Oct-Dic 2014,23.561478212269986,225.56289230505539,5.049.640,859.413,967.508,1.250.366,3.500.882,436.9891276523214,7.842.778,9.36725141693334,BUENOS AIRES,Chacabuco,Castilla,SI,SI,SI,SI
3293,2015.4002920108082,2.541426497930178,SI,2.756.294,226.285,199.23077907176054,125.69984911290472,9.571.562,Oct-Dic 2014,-25.158932996295384,65.29839899064518,5.049.640,859.413,967.508,1.250.366,3.500.882,14.067821716556764,7.842.778,2.8554694348353564,BUENOS AIRES,Chacabuco,Chacabuco,SI,SI,SI,SI
3294,2015.9649964604425,0.5934431754369438,SI,2.756.294,226.285,249.9132547302486,257.98016201737767,9.571.562,Oct-Dic 2014,93.26079172536686,122.24313645679703,5.049.640,859.413,967.508,1.250.366,3.500.882,220.87437032628134,7.842.778,7.268606868022712,BUENOS AIRES,Chacabuco,Los Angeles,SI,SI,SI,SI
3295,2016.4754471875515,4.232482838999279,SI,2.756.294,226.285,312.9330620395568,243.4653482298952,9.571.562,Oct-Dic 2014,63.598428080165476,253.13203620226773,5.049.640,859.413,967.508,1.250.366,3.500.882,16.97607511404867,7.842.778,34.27106514856676,BUENOS AIRES,Chacabuco,O'Higgins,SI,SI,SI,SI
3296,2022.191894263875,3.767237300940608,SI,2.756.294,226.285,175.31962077969854,117.41306396103123,9.571.562,Oct-Dic 2014,150.9780375778867,198.32256210469018,5.049.640,859.413,967.508,1.250.366,3.500.882,386.57416769706276,7.842.778,37.08594113942999,BUENOS AIRES,Chacabuco,Rawson,SI,SI,SI,SI
3297,2017.2236655156066,1.2902524655156122,SI,2.756.294,226.285,495.677495429847,169.1667715905375,9.571.562,Oct-Dic 2014,-39.31177841597978,0.7826986368927464,5.049.640,859.413,967.508,1.250.366,3.500.882,20.49228031515048,7.842.778,6.9679204359728395,BUENOS AIRES,Chascomús,Barrio Lomas Altas,SI,SI,SI,SI
3298,2018.1974572051013,3.239147018251742,SI,2.756.294,226.285,211.45543004913472,70.00777291452106,9.571.562,Oct-Dic 2014,23.725035661726587,-3.5246873707577038,5.049.640,859.413,967.508,1.250.366,3.500.882,117.5754607735702,7.842.778,17.034304128270776,BUENOS AIRES,General Villegas,Villa Saboya,SI,SI,SI,SI
3299,2020.7855946589348,0.823844947767443,SI,2.756.294,226.285,325.7181892449234,165.88511509239947,9.571.562,Oct-Dic 2014,28.251897349182027,160.3774623296393,5.049.640,859.413,967.508,1.250.366,3.500.882,195.21947753912542,7.842.778,23.44349519056467,BUENOS AIRES,General Villegas,Villa Sauze,SI,SI,SI,SI
